timestamp,hour,lat,lon,current_speed,free_flow_speed,congestion,speed_ratio
2026-05-06T20:46:27.726Z,2026-05-06 21:00,39.957516,-75.169815,15,25,0.4000,0.6000
2026-05-06T20:46:27.783Z,2026-05-06 21:00,39.9581,-75.16982,15,25,0.4000,0.6000
2026-05-06T20:46:27.835Z,2026-05-06 21:00,39.958496,-75.16923,38,85,0.5529,0.4471
2026-05-06T20:46:27.885Z,2026-05-06 21:00,39.958256,-75.16719,38,85,0.5529,0.4471
2026-05-06T20:46:27.937Z,2026-05-06 21:00,39.95844,-75.16562,43,43,0.0000,1.0000
2026-05-06T20:46:27.983Z,2026-05-06 21:00,39.959587,-75.16528,43,43,0.0000,1.0000
2026-05-06T20:46:28.040Z,2026-05-06 21:00,39.959675,-75.16481,43,43,0.0000,1.0000
2026-05-06T20:46:28.083Z,2026-05-06 21:00,39.95904,-75.16474,43,43,0.0000,1.0000
2026-05-06T20:46:28.125Z,2026-05-06 21:00,39.958614,-75.16507,43,43,0.0000,1.0000
2026-05-06T20:46:28.167Z,2026-05-06 21:00,39.958424,-75.16572,43,43,0.0000,1.0000
2026-05-06T20:46:28.221Z,2026-05-06 21:00,39.959328,-75.17336,58,85,0.3176,0.6824
2026-05-06T20:46:28.259Z,2026-05-06 21:00,39.960377,-75.1811,15,64,0.7656,0.2344
2026-05-06T20:46:28.300Z,2026-05-06 21:00,39.961575,-75.18247,15,64,0.7656,0.2344
2026-05-06T20:46:28.348Z,2026-05-06 21:00,39.964455,-75.18479,53,85,0.3765,0.6235
2026-05-06T20:46:28.390Z,2026-05-06 21:00,39.96684,-75.18766,75,92,0.1848,0.8152
2026-05-06T20:46:28.459Z,2026-05-06 21:00,39.968235,-75.19061,75,92,0.1848,0.8152
2026-05-06T20:46:28.507Z,2026-05-06 21:00,39.969933,-75.19253,75,92,0.1848,0.8152
2026-05-06T20:46:28.548Z,2026-05-06 21:00,39.97332,-75.19378,75,92,0.1848,0.8152
2026-05-06T20:46:28.590Z,2026-05-06 21:00,39.975964,-75.194984,75,92,0.1848,0.8152
2026-05-06T20:46:28.637Z,2026-05-06 21:00,39.976757,-75.19671,75,92,0.1848,0.8152
2026-05-06T20:46:28.692Z,2026-05-06 21:00,39.977425,-75.2001,75,92,0.1848,0.8152
2026-05-06T20:46:28.759Z,2026-05-06 21:00,39.979027,-75.20335,75,92,0.1848,0.8152
2026-05-06T20:46:28.816Z,2026-05-06 21:00,39.982246,-75.20756,75,92,0.1848,0.8152
