timestamp,hour,lat,lon,current_speed,free_flow_speed,congestion,speed_ratio
2026-05-04T23:48:31.591Z,2026-05-05 00:00,39.957516,-75.169815,14,25,0.4400,0.5600
2026-05-04T23:48:31.633Z,2026-05-05 00:00,39.9581,-75.16982,14,25,0.4400,0.5600
2026-05-04T23:48:31.696Z,2026-05-05 00:00,39.958496,-75.16923,16,85,0.8118,0.1882
2026-05-04T23:48:31.744Z,2026-05-05 00:00,39.958256,-75.16719,16,85,0.8118,0.1882
2026-05-04T23:48:31.789Z,2026-05-05 00:00,39.95844,-75.16562,43,43,0.0000,1.0000
2026-05-04T23:48:31.877Z,2026-05-05 00:00,39.959587,-75.16528,43,43,0.0000,1.0000
2026-05-04T23:48:31.928Z,2026-05-05 00:00,39.959675,-75.16481,43,43,0.0000,1.0000
2026-05-04T23:48:31.976Z,2026-05-05 00:00,39.95904,-75.16474,43,43,0.0000,1.0000
2026-05-04T23:48:32.025Z,2026-05-05 00:00,39.958614,-75.16507,43,43,0.0000,1.0000
2026-05-04T23:48:32.064Z,2026-05-05 00:00,39.958424,-75.16572,43,43,0.0000,1.0000
2026-05-04T23:48:32.117Z,2026-05-05 00:00,39.959328,-75.17336,86,86,0.0000,1.0000
2026-05-04T23:48:32.162Z,2026-05-05 00:00,39.960377,-75.1811,63,63,0.0000,1.0000
2026-05-04T23:48:32.209Z,2026-05-05 00:00,39.961575,-75.18247,63,63,0.0000,1.0000
2026-05-04T23:48:32.261Z,2026-05-05 00:00,39.964455,-75.18479,85,85,0.0000,1.0000
2026-05-04T23:48:32.305Z,2026-05-05 00:00,39.96684,-75.18766,93,93,0.0000,1.0000
2026-05-04T23:48:32.349Z,2026-05-05 00:00,39.968235,-75.19061,93,93,0.0000,1.0000
2026-05-04T23:48:32.393Z,2026-05-05 00:00,39.969933,-75.19253,93,93,0.0000,1.0000
2026-05-04T23:48:32.442Z,2026-05-05 00:00,39.97332,-75.19378,93,93,0.0000,1.0000
2026-05-04T23:48:32.490Z,2026-05-05 00:00,39.975964,-75.194984,93,93,0.0000,1.0000
