timestamp,hour,lat,lon,current_speed,free_flow_speed,congestion,speed_ratio
2026-05-06T19:46:27.741Z,2026-05-06 20:00,39.957516,-75.169815,17,25,0.3200,0.6800
2026-05-06T19:46:27.787Z,2026-05-06 20:00,39.9581,-75.16982,17,25,0.3200,0.6800
2026-05-06T19:46:27.839Z,2026-05-06 20:00,39.958496,-75.16923,39,84,0.5357,0.4643
2026-05-06T19:46:27.887Z,2026-05-06 20:00,39.958256,-75.16719,39,84,0.5357,0.4643
2026-05-06T19:46:27.945Z,2026-05-06 20:00,39.95844,-75.16562,43,43,0.0000,1.0000
2026-05-06T19:46:27.997Z,2026-05-06 20:00,39.959587,-75.16528,43,43,0.0000,1.0000
2026-05-06T19:46:28.054Z,2026-05-06 20:00,39.959675,-75.16481,43,43,0.0000,1.0000
2026-05-06T19:46:28.101Z,2026-05-06 20:00,39.95904,-75.16474,43,43,0.0000,1.0000
2026-05-06T19:46:28.143Z,2026-05-06 20:00,39.958614,-75.16507,43,43,0.0000,1.0000
2026-05-06T19:46:28.187Z,2026-05-06 20:00,39.958424,-75.16572,43,43,0.0000,1.0000
2026-05-06T19:46:28.252Z,2026-05-06 20:00,39.959328,-75.17336,41,85,0.5176,0.4824
2026-05-06T19:46:28.296Z,2026-05-06 20:00,39.960377,-75.1811,16,63,0.7460,0.2540
2026-05-06T19:46:28.340Z,2026-05-06 20:00,39.961575,-75.18247,16,63,0.7460,0.2540
2026-05-06T19:46:28.382Z,2026-05-06 20:00,39.964455,-75.18479,56,85,0.3412,0.6588
2026-05-06T19:46:28.427Z,2026-05-06 20:00,39.96684,-75.18766,62,92,0.3261,0.6739
2026-05-06T19:46:28.478Z,2026-05-06 20:00,39.968235,-75.19061,62,92,0.3261,0.6739
2026-05-06T19:46:28.525Z,2026-05-06 20:00,39.969933,-75.19253,62,92,0.3261,0.6739
2026-05-06T19:46:28.577Z,2026-05-06 20:00,39.97332,-75.19378,62,92,0.3261,0.6739
2026-05-06T19:46:28.630Z,2026-05-06 20:00,39.975964,-75.194984,62,92,0.3261,0.6739
2026-05-06T19:46:28.678Z,2026-05-06 20:00,39.976757,-75.19671,62,92,0.3261,0.6739
2026-05-06T19:46:28.727Z,2026-05-06 20:00,39.977425,-75.2001,62,92,0.3261,0.6739
2026-05-06T19:46:28.782Z,2026-05-06 20:00,39.979027,-75.20335,62,92,0.3261,0.6739
2026-05-06T19:46:28.826Z,2026-05-06 20:00,39.982246,-75.20756,62,92,0.3261,0.6739
2026-05-06T19:46:28.868Z,2026-05-06 20:00,39.984573,-75.208206,62,92,0.3261,0.6739
2026-05-06T19:46:28.927Z,2026-05-06 20:00,39.9878,-75.207375,62,92,0.3261,0.6739
2026-05-06T19:46:28.978Z,2026-05-06 20:00,39.990223,-75.20519,62,92,0.3261,0.6739
2026-05-06T19:46:29.028Z,2026-05-06 20:00,39.99199,-75.20195,62,92,0.3261,0.6739
2026-05-06T19:46:29.072Z,2026-05-06 20:00,39.994762,-75.19817,62,92,0.3261,0.6739
2026-05-06T19:46:29.170Z,2026-05-06 20:00,39.998882,-75.19542,62,92,0.3261,0.6739
2026-05-06T19:46:29.223Z,2026-05-06 20:00,40.002052,-75.19451,62,92,0.3261,0.6739
2026-05-06T19:46:29.277Z,2026-05-06 20:00,40.004,-75.19465,16,88,0.8182,0.1818
2026-05-06T19:46:29.334Z,2026-05-06 20:00,40.005604,-75.195915,16,88,0.8182,0.1818
2026-05-06T19:46:29.373Z,2026-05-06 20:00,40.00722,-75.19955,16,88,0.8182,0.1818
2026-05-06T19:46:29.424Z,2026-05-06 20:00,40.00956,-75.20553,16,88,0.8182,0.1818
2026-05-06T19:46:29.475Z,2026-05-06 20:00,40.01259,-75.21089,16,88,0.8182,0.1818
2026-05-06T19:46:29.524Z,2026-05-06 20:00,40.01652,-75.21622,38,94,0.5957,0.4043
2026-05-06T19:46:29.574Z,2026-05-06 20:00,40.01971,-75.218704,38,94,0.5957,0.4043
2026-05-06T19:46:29.632Z,2026-05-06 20:00,40.022667,-75.22323,38,94,0.5957,0.4043
2026-05-06T19:46:29.684Z,2026-05-06 20:00,40.025078,-75.2282,38,94,0.5957,0.4043
2026-05-06T19:46:29.732Z,2026-05-06 20:00,40.027164,-75.23209,53,99,0.4646,0.5354
2026-05-06T19:46:29.780Z,2026-05-06 20:00,40.031322,-75.23829,53,99,0.4646,0.5354
2026-05-06T19:46:29.827Z,2026-05-06 20:00,40.03519,-75.24284,53,99,0.4646,0.5354
2026-05-06T19:46:29.869Z,2026-05-06 20:00,40.03771,-75.247765,53,99,0.4646,0.5354
2026-05-06T19:46:29.927Z,2026-05-06 20:00,40.0408,-75.251076,53,99,0.4646,0.5354
2026-05-06T19:46:29.966Z,2026-05-06 20:00,40.0424,-75.25305,53,99,0.4646,0.5354
2026-05-06T19:46:30.018Z,2026-05-06 20:00,40.045166,-75.25749,53,99,0.4646,0.5354
2026-05-06T19:46:30.066Z,2026-05-06 20:00,40.050354,-75.262924,53,99,0.4646,0.5354
2026-05-06T19:46:30.109Z,2026-05-06 20:00,40.05828,-75.27097,53,99,0.4646,0.5354
2026-05-06T19:46:30.161Z,2026-05-06 20:00,40.06501,-75.27713,53,99,0.4646,0.5354
2026-05-06T19:46:30.208Z,2026-05-06 20:00,40.06987,-75.28023,43,102,0.5784,0.4216
2026-05-06T19:46:30.259Z,2026-05-06 20:00,40.071503,-75.2834,53,99,0.4646,0.5354
2026-05-06T19:46:30.300Z,2026-05-06 20:00,40.071693,-75.28642,53,99,0.4646,0.5354
2026-05-06T19:46:30.341Z,2026-05-06 20:00,40.069298,-75.295425,53,99,0.4646,0.5354
2026-05-06T19:46:30.389Z,2026-05-06 20:00,40.067005,-75.30992,54,54,0.0000,1.0000
2026-05-06T19:46:30.432Z,2026-05-06 20:00,40.065388,-75.31908,47,97,0.5155,0.4845
2026-05-06T19:46:30.490Z,2026-05-06 20:00,40.063923,-75.32654,39,90,0.5667,0.4333
2026-05-06T19:46:30.539Z,2026-05-06 20:00,40.06483,-75.33058,75,97,0.2268,0.7732
2026-05-06T19:46:30.600Z,2026-05-06 20:00,40.067486,-75.33785,75,97,0.2268,0.7732
2026-05-06T19:46:30.643Z,2026-05-06 20:00,40.069004,-75.34221,75,97,0.2268,0.7732
2026-05-06T19:46:30.691Z,2026-05-06 20:00,40.073887,-75.34878,75,97,0.2268,0.7732
2026-05-06T19:46:30.737Z,2026-05-06 20:00,40.07553,-75.356964,75,97,0.2268,0.7732
2026-05-06T19:46:30.782Z,2026-05-06 20:00,40.07882,-75.37634,103,103,0.0000,1.0000
2026-05-06T19:46:30.837Z,2026-05-06 20:00,40.08223,-75.3903,86,86,0.0000,1.0000
2026-05-06T19:46:30.893Z,2026-05-06 20:00,40.083145,-75.39137,54,54,0.0000,1.0000
2026-05-06T19:46:30.962Z,2026-05-06 20:00,40.084606,-75.38975,32,51,0.3725,0.6275
2026-05-06T19:46:31.009Z,2026-05-06 20:00,40.085686,-75.38766,32,51,0.3725,0.6275
2026-05-06T19:46:31.047Z,2026-05-06 20:00,40.086685,-75.38557,32,51,0.3725,0.6275
2026-05-06T19:46:31.092Z,2026-05-06 20:00,40.087917,-75.38524,42,56,0.2500,0.7500
